,Datetime,Text,Username,Lokasi
52,2023-03-02 14:17:33+00:00,"Haturnuhun Pak Gubernur @ridwankamil, berkat komunikasi yang baik, beliau membantu terwujudnya Command Center ini,” tulis Hengky Kurniawan

fungsi Command Center ini adalah untuk mengontrol keadaan wilayah dan memonitor data internal. https://t.co/CUwzqWgfkN",IrfynaC,"Gombong, Indonesia"
53,2023-03-02 14:15:03+00:00,"Gedung Yayasan Pusat Kebudayaan, Kota Bandung
British Council menggabungkan keahlian ekstensif antara Indonesia dan Inggris di bidang seni budaya, pendidikan, dan bahasa Inggris untuk mendukung prioritas pemerintah Indonesia dalam pengembangan tenaga kerja.
#RidwanKamil",darryl_riona,Indonesia
54,2023-03-02 14:13:22+00:00,"Haturnuhun Pak Gubernur @ridwankamil, berkat komunikasi yang baik, beliau membantu terwujudnya Command Center ini,” tulis Hengky Kurniawan

fungsi Command Center ini adalah untuk mengontrol keadaan wilayah dan memonitor data internal. https://t.co/fzkaG13g71",darryl_riona,Indonesia
55,2023-03-02 14:11:15+00:00,"@PaUuRuzhanul @ridwankamil @humasjabar Harmonis banget ya pak rk sama pak uu, gubernur yang jalannya ,tapi d post juga di akun pak wagub nya",agresive23,
56,2023-03-02 14:10:49+00:00,"@humasjabar @ridwankamil @ESDMJabar Transportasi umumlah, gak perlulah infografis ginian",nouriueno,Emilia-Romagna
57,2023-03-02 14:10:14+00:00,@PaUuRuzhanul @ridwankamil @humasjabar Wah bagus bagus juga ya programnya pak uu dan pak rk,rahmaariaa,
58,2023-03-02 14:09:20+00:00,"Gedung Yayasan Pusat Kebudayaan, Kota Bandung
British Council menggabungkan keahlian ekstensif antara Indonesia dan Inggris di bidang seni budaya, pendidikan, dan bahasa Inggris untuk mendukung prioritas pemerintah Indonesia dalam pengembangan tenaga kerja.
#RidwanKamil",bakti_made,"Depok, Indonesia"
59,2023-03-02 14:08:55+00:00,@humasjabar @ridwankamil @ESDMJabar humas bloon,betaldine,Rivendell
60,2023-03-02 14:07:31+00:00,@humasjabar @ridwankamil @ESDMJabar Mahal klu baterai nya rusak,EkoSudrajad3,
61,2023-03-02 14:07:26+00:00,"Haturnuhun Pak Gubernur @ridwankamil, berkat komunikasi yang baik, beliau membantu terwujudnya Command Center ini,” tulis Hengky Kurniawan

fungsi Command Center ini adalah untuk mengontrol keadaan wilayah dan memonitor data internal. https://t.co/dgXnTdI0dp",bakti_made,"Depok, Indonesia"
62,2023-03-02 14:06:23+00:00,@PaUuRuzhanul @ridwankamil @humasjabar Pasangan gubernur yang bagus nih saling support trs 👍,rosie_aleena,
63,2023-03-02 14:06:20+00:00,"@GerryMurlianda @ridwankamil @airlangga_hrt Makanya, Saya Konsisten
Dengan Keputusan Munas
DPP Partai Golkar",AchmadAnnama,"DKI Jakarta, Indonesia"
64,2023-03-02 14:06:19+00:00,"@humasjabar @ridwankamil @ESDMJabar Wkwkwkw malah jadi sales pit listrik 🫠🫠
#jabarjuara",idagsyah,"West Java, Indonesia"
65,2023-03-02 14:05:32+00:00,"Gedung Yayasan Pusat Kebudayaan, Kota Bandung
British Council menggabungkan keahlian ekstensif antara Indonesia dan Inggris di bidang seni budaya, pendidikan, dan bahasa Inggris untuk mendukung prioritas pemerintah Indonesia dalam pengembangan tenaga kerja.
#RidwanKamil",RyujiDanma4,"Depok, Indonesia"
66,2023-03-02 14:04:26+00:00,"Haturnuhun Pak Gubernur @ridwankamil, berkat komunikasi yang baik, beliau membantu terwujudnya Command Center ini,” tulis Hengky Kurniawan

fungsi Command Center ini adalah untuk mengontrol keadaan wilayah dan memonitor data internal. https://t.co/G8oxtrJ8H5",RyujiDanma4,"Depok, Indonesia"
67,2023-03-02 14:02:35+00:00,"Gedung Yayasan Pusat Kebudayaan, Kota Bandung
British Council menggabungkan keahlian ekstensif antara Indonesia dan Inggris di bidang seni budaya, pendidikan, dan bahasa Inggris untuk mendukung prioritas pemerintah Indonesia dalam pengembangan tenaga kerja.
#RidwanKamil",ECandraji,
68,2023-03-02 14:02:33+00:00,"@PaUuRuzhanul @ridwankamil @humasjabar Pasangan yang keren ya gays sangat kompak kang Emil - pak uu ini,saling support untuk memajukan Jawa barat",fikh12_,
69,2023-03-02 14:01:08+00:00,"Haturnuhun Pak Gubernur @ridwankamil, berkat komunikasi yang baik, beliau membantu terwujudnya Command Center ini,” tulis Hengky Kurniawan

fungsi Command Center ini adalah untuk mengontrol keadaan wilayah dan memonitor data internal. https://t.co/FbSRaenxDa",ECandraji,
70,2023-03-02 14:00:10+00:00,Ridwan Kamil:  Penyebab Difteri di Garut  Adanya Dinamika Sosial Larangan Vaksin Pada Anak #GubernurJawaBarat #Difteri #Garut #RidwanKamil #Dinkes #KLB https://t.co/lwttVLtUyL,ceklissatucom,"Bogor, Indonesia"
71,2023-03-02 13:58:39+00:00,"Haturnuhun Pak Gubernur @ridwankamil, berkat komunikasi yang baik, beliau membantu terwujudnya Command Center ini,” tulis Hengky Kurniawan

fungsi Command Center ini adalah untuk mengontrol keadaan wilayah dan memonitor data internal.
 https://t.co/6cN5X5SKzh",AryFauzian,"Jakarta Pusat, DKI Jakarta"
